Распределение температуры на момент времени t = 60 секунд:
x = 0, T = 300 C
x = 0.0757515, T = 77.362 C
x = 0.0759519, T = 77.4493 C
x = 0.0761523, T = 77.5391 C
x = 0.0763527, T = 77.6313 C
x = 0.0765531, T = 77.7259 C
x = 0.0767535, T = 77.8229 C
x = 0.0769539, T = 77.9223 C
x = 0.0771543, T = 78.024 C
x = 0.0773547, T = 78.1281 C
x = 0.0775551, T = 78.2345 C
x = 0.0777555, T = 78.3431 C
x = 0.0779559, T = 78.4541 C
x = 0.0781563, T = 78.5673 C
x = 0.0783567, T = 78.6827 C
x = 0.0785571, T = 78.8004 C
x = 0.0787575, T = 78.9202 C
x = 0.0789579, T = 79.0423 C
x = 0.0791583, T = 79.1665 C
x = 0.0793587, T = 79.2928 C
x = 0.0795591, T = 79.4213 C
x = 0.0797595, T = 79.5518 C
x = 0.0799599, T = 79.6845 C
x = 0.0801603, T = 79.8192 C
x = 0.0803607, T = 79.9559 C
x = 0.0805611, T = 80.0947 C
x = 0.0807615, T = 80.2355 C
x = 0.0809619, T = 80.3782 C
x = 0.0811623, T = 80.5229 C
x = 0.0813627, T = 80.6696 C
x = 0.0815631, T = 80.8182 C
x = 0.0817635, T = 80.9687 C
x = 0.0819639, T = 81.1211 C
x = 0.0821643, T = 81.2754 C
x = 0.0823647, T = 81.4315 C
x = 0.0825651, T = 81.5894 C
x = 0.0827655, T = 81.7491 C
x = 0.0829659, T = 81.9106 C
x = 0.0831663, T = 82.0739 C
x = 0.0833667, T = 82.2389 C
x = 0.0835671, T = 82.4057 C
x = 0.0837675, T = 82.5742 C
x = 0.0839679, T = 82.7443 C
x = 0.0841683, T = 82.9161 C
x = 0.0843687, T = 83.0896 C
x = 0.0845691, T = 83.2647 C
x = 0.0847695, T = 83.4414 C
x = 0.0849699, T = 83.6197 C
x = 0.0851703, T = 83.7995 C
x = 0.0853707, T = 83.9809 C
x = 0.0855711, T = 84.1638 C
x = 0.0857715, T = 84.3482 C
x = 0.0859719, T = 84.5341 C
x = 0.0861723, T = 84.7215 C
x = 0.0863727, T = 84.9103 C
x = 0.0865731, T = 85.1005 C
x = 0.0867735, T = 85.2921 C
x = 0.0869739, T = 85.4852 C
x = 0.0871743, T = 85.6795 C
x = 0.0873747, T = 85.8752 C
x = 0.0875752, T = 86.0723 C
x = 0.0877756, T = 86.2706 C
x = 0.087976, T = 86.4702 C
x = 0.0881764, T = 86.6711 C
x = 0.0883768, T = 86.8732 C
x = 0.0885772, T = 87.0765 C
x = 0.0887776, T = 87.281 C
x = 0.088978, T = 87.4867 C
x = 0.0891784, T = 87.6936 C
x = 0.0893788, T = 87.9016 C
x = 0.0895792, T = 88.1107 C
x = 0.0897796, T = 88.3209 C
x = 0.08998, T = 88.5321 C
x = 0.0901804, T = 88.7444 C
x = 0.0903808, T = 88.9578 C
x = 0.0905812, T = 89.1721 C
x = 0.0907816, T = 89.3875 C
x = 0.090982, T = 89.6038 C
x = 0.0911824, T = 89.8211 C
x = 0.0913828, T = 90.0392 C
x = 0.0915832, T = 90.2583 C
x = 0.0917836, T = 90.4783 C
x = 0.091984, T = 90.6992 C
x = 0.0921844, T = 90.9208 C
x = 0.0923848, T = 91.1433 C
x = 0.0925852, T = 91.3666 C
x = 0.0927856, T = 91.5907 C
x = 0.092986, T = 91.8156 C
x = 0.0931864, T = 92.0412 C
x = 0.0933868, T = 92.2675 C
x = 0.0935872, T = 92.4945 C
x = 0.0937876, T = 92.7221 C
x = 0.093988, T = 92.9505 C
x = 0.0941884, T = 93.1794 C
x = 0.0943888, T = 93.409 C
x = 0.0945892, T = 93.6392 C
x = 0.0947896, T = 93.8699 C
x = 0.09499, T = 94.1012 C
x = 0.0951904, T = 94.333 C
x = 0.0953908, T = 94.5653 C
x = 0.0955912, T = 94.7981 C
x = 0.0957916, T = 95.0314 C
x = 0.095992, T = 95.2651 C
x = 0.0961924, T = 95.4992 C
x = 0.0963928, T = 95.7338 C
x = 0.0965932, T = 95.9687 C
x = 0.0967936, T = 96.204 C
x = 0.096994, T = 96.4396 C
x = 0.0971944, T = 96.6755 C
x = 0.0973948, T = 96.9117 C
x = 0.0975952, T = 97.1482 C
x = 0.0977956, T = 97.385 C
x = 0.097996, T = 97.622 C
x = 0.0981964, T = 97.8592 C
x = 0.0983968, T = 98.0966 C
x = 0.0985972, T = 98.3341 C
x = 0.0987976, T = 98.5718 C
x = 0.098998, T = 98.8097 C
x = 0.0991984, T = 99.0476 C
x = 0.0993988, T = 99.2856 C
x = 0.0995992, T = 99.5237 C
x = 0.0997996, T = 99.7618 C
x = 0.1, T = 100 C
